id,rank,argument,context,stance,topic,Manual ,train,test
4038,0,"The disease would grow stronger by mutating on the entire population, it is best to save it for really sick oeople",Flu-vaccination-should-not-be-mandatory,con,Flu Vaccine,1,TRUE,FALSE
1352,0,Gambling is betting on risky investments which ignites emotions for those with competitive nature and is (competitive) fun like when fav your sports team wins/lose. Humans are responsible to make it good or bad,Gambling-should-not-be-banned,con,Gambling,1,FALSE,TRUE
2826,0,Platforms such as Facebook MessengerKids; still has an unclear privacy policy. Such platforms unless regulated by Govt policies are bound to tend towards sharing user's data across platforms/orgs/service partners & finally compromising the objective.,Social-media-brings-more-harm-than-good,pro,Social Media,1,TRUE,FALSE
34,0,A black market for these drugs will be more wide spread' because their will be more research and development of the drugs.,We-should-ban-doping-in-sport,con,Doping in Sport,1,FALSE,TRUE
132,0,"Already today many athlets use drugs, but these drugs are medically verified because they aren't regulated, which means the illegal drugs are more likely to harm the participants",We-should-legalize-doping-in-sport,pro,Doping in Sport,1,TRUE,FALSE
4962,0,When we catch an athlete who dope we don't solve the problem because he may be one among many but we do lower the reputation of athletes and sports.,We-should-legalize-doping-in-sport,pro,Doping in Sport,1,FALSE,TRUE
1893,0.083333333,Innovation forces change. Change is good. Please continue.,We-should-promote-autonomous-cars,con,Autonomous Cars,1,TRUE,FALSE
960,0.083333333,Driving a car by self has proven most of times beneficial for mental health and sense of happiness. The mere control of ride sets human into powerful position.,We-should-limit-autonomous-cars,pro,Autonomous Cars,1,FALSE,TRUE
3080,0.1,Social Media conversations can lead the user to believing the conversations are private but allowing the Social Media provider full access to the content of those conversations,Social-media-brings-more-harm-than-good,pro,Social Media,1,TRUE,FALSE
1923,0.1,"It's the frog in the boiling water problem. Expose children little by little to violent images and they will lose their ability to be shocked, and therefore moved to stop it.",We-should-ban-the-sale-of-violent-video-games-to-minors,pro,Violent Video Games,1,FALSE,TRUE
2009,0.111111111,It is not easy to regulate gambling because it is not easy to catch gamblers in the act.,Gambling-should-not-be-banned,con,Gambling,1,TRUE,FALSE
1942,0.111111111,It enables harmful (and good) comments but postings can be unattributed; a user can be invisible. Inevitably personal and social harm arises : recipients exposed to negativity; users not accountable; regulatory governance lags behind too far.,Social-media-brings-more-harm-than-good,pro,Social Media,1,FALSE,TRUE
1942,0.111111111,It enables harmful (and good) comments but postings can be unattributed; a user can be invisible. Inevitably personal and social harm arises : recipients exposed to negativity; users not accountable; regulatory governance lags behind too far.,Social-media-brings-more-harm-than-good,pro,Social Media,1,TRUE,FALSE
4974,0.111111111,While information privacy is important to everyone but the absence of it is feared mostly by the persons who always keep hidden agendas which is not in line with the law of land,We-should-discourage-information-privacy-laws,con,Information Privacy Laws,1,FALSE,TRUE
1084,0.125,Flu is less likely to spread because there is less contact with people who have it,Flu-vaccination-should-be-mandatory,pro,Flu Vaccine,1,TRUE,FALSE
1459,0.125,"Gambling should not be banned, part of the free of will should include what to do. As soon as you are making no harm to a third person.",Gambling-should-not-be-banned,con,Gambling,1,FALSE,TRUE
2016,0.125,It is safer because it is decentralized so people won't be scammed,We-should-adopt-cryptocurrency,pro,Cryptocurrency,1,TRUE,FALSE
4603,0.125,"Violent children lead to more interesting societies, which is why we should use video games to make the, more violent",We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1,FALSE,TRUE
4606,0.125,"Violent games are unlikely to meaningfully effect children't behavior, especially since they have already been consuming violent tv and movies.",We-should-allow-the-sale-of-violent-video-games-to-minors,con,Violent Video Games,1,TRUE,FALSE
467,0.125,"Autonomous cars will reduce the need for drivers, and those people will lose jobs. Taxi drivers, truck drivers, deliver people and other drivers are the backbone of this great country we call USA!",We-should-limit-autonomous-cars,pro,Autonomous Cars,1,FALSE,TRUE
1026,0.142857143,"Even winning is bad. Those who win don't know what to do with their money, are likely to spend it quickly on new things, and are volunurable to scummers, so eventually they are more harmed.",Gambling-should-be-banned,pro,Gambling,1,TRUE,FALSE
580,0.142857143,"Because animals are thinking, sentient creatures, it is a violation of their rights to kill them when it is not absolutely necessary for us.",We-should-adopt-vegetarianism,pro,Vegetarianism,1,FALSE,TRUE
3053,0.142857143,"Smart contracts mean that deals or investing can occur without a need for trust, increasing the amount people are willing to put in.",We-should-adopt-cryptocurrency,pro,Cryptocurrency,1,TRUE,FALSE
4889,0.142857143,"We should not stop the development of autonomous cars, but we need proper assignment of responsibility to their makers, else safety will fall short.",We-should-promote-autonomous-cars,con,Autonomous Cars,1,FALSE,TRUE
3901,0.153846154,Sports gambling is engaging and sparks discussion and deeper analysis of the team and situational factors associated with success,Gambling-should-not-be-banned,con,Gambling,1,TRUE,FALSE
2764,0.153846154,People sharing their views on an issue has become easy via social media. Sitting in your home or office you would have never known if you are the only one with that POV,Social-media-brings-more-good-than-harm,con,Social Media,1,FALSE,TRUE
